nombre,nombre_corto,rol,dialogo
DENISE MAERKER,NA,Moderador,"Muy buenas noches, bienvenidos al primer debate presidencial 2018. Estamos en el Palacio de Minería de la Ciudad de México y agradecemos a la Universidad Nacional Autónoma de México por recibirnos en este espléndido recinto. El tema general de este primer debate es política y gobierno y será abordado en tres bloques: primero seguridad pública y violencia, después combate a la corrupción e impunidad, al final democracia, pluralismo y grupos en situación de vulnerabilidad. El formato de este debate, los bloques y segmentos, la duración de las participaciones y el rol de los moderadores fue aprobado por representantes de todos los candidatos. El Instituto Nacional Electoral agradece la asistencia a este debate a Margarita Zavala, candidata independiente, Margarita, candidata, buenas noches."
MARGARITA ZAVALA,Zavala,Candidato,"Buenas noches, muchas gracias."
DENISE MAERKER,NA,Moderador,"José Antonio Meade, candidato de la coalición Todos por México, candidato."
JOSÉ ANTONIO MEADE,Meade,Candidato,"Denise, buenas noches, Sergio, Azucena, buenas noches."
DENISE MAERKER,NA,Moderador,"Ricardo Anaya, de la coalición Por México al Frente, candidato."
RICARDO ANAYA,Anaya,Candidato,Muy buenas noches a todas y a todos.
DENISE MAERKER,NA,Moderador,"Candidato Andrés Manuel López Obrador, de la coalición Juntos haremos Historia."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Muy buenas noches.
DENISE MAERKER,NA,Moderador,"Candidatos Jaime Rodríguez Calderón, candidato independiente."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Buenas noches México, y todos buenas noches."
DENISE MAERKER,NA,Moderador,"Buenas noches. Me acompañan Azucena Uresti y Sergio Sarmiento en la moderación y estas van a ser las reglas del primer segmento del primer bloque sobre Seguridad Pública y violencia, adelante."
VOZ EN OFF,NA,Voz en Off,"La moderación hará una pregunta que será la misma para los cinco participantes, según el orden en el que fueron sorteados, la y los candidatos tendrán hasta un minuto para responder la pregunta inicial y hasta un minuto y medio para las preguntas de seguimiento de la moderación. Adicionalmente los participantes tendrán derecho a dos réplicas de hasta 30 segundos cada una a lo largo del segmento."
