nombre,nombre_corto,rol,dialogo
LEÓN KRAUZE,NA,Moderador,"Muy buenas noches, bienvenidos al segundo debate presidencial en la ciudad de Tijuana, Baja California, soy León Krauze, tengo el gusto de acompañar a Yuriria Sierra."
YURIRIA SIERRA,NA,Moderador,"El gusto es mío, mi querido León, muy buenas noches candidatos, México y por supuesto el público presente."
LEÓN KRAUZE,NA,Moderador,"El tema principal de este encuentro es México en el mundo, por diversas razones este debate cobra una relevancia mayor, tiene lugar en una ciudad emblemática de la frontera con Estados Unidos y cuenta por primera vez en la historia de los debates electorales en nuestro país con público participativo, todos son de Tijuana y seis de ellos harán de viva voz y con libertad absoluta una pregunta que deberán responder directamente los candidatos presidenciales.Hoy, hoy más que nunca nos dirigimos también a los millones de mexicanos que viven en el exterior. El debate abordará tres temas específicos: comercio exterior e inversión; seguridad fronteriza y combate al crimen trasnacional; y derechos de los migrantes. El Instituto Nacional Electoral agradece a la comunidad de la Universidad Autónoma de Baja California, a sus autoridades, y en particular a la vicerrectoría del campus Tijuana su plena disposición para llevar a cabo este debate presidencial. Este encuentro es transmitido a todo el país y a todo el mundo a través de múltiples plataformas de Internet y redes sociales, así como de un amplio número de radiodifusoras y televisoras públicas y privadas de México. A todos muchas gracias.Le damos ahora si la bienvenida al candidato Andrés Manuel López Obrador, de la coalición Juntos Haremos Historia, candidato."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Muy buenas noches.
LEÓN KRAUZE,NA,Moderador,"Al candidato José Antonio Meade, candidato de la coalición Todos por México."
JOSÉ ANTONIO MEADE,Meade,Candidato,"Muy buenas noches a todos, buenas noches."
LEÓN KRAUZE,NA,Moderador,"Candidato Ricardo Anaya, candidato de la coalición Por México al Frente."
RICARDO ANAYA,Anaya,Candidato,Muy buenas noches a todas y a todos.
LEÓN KRAUZE,NA,Moderador,"Candidato Jaime Rodríguez Calderón, candidato independiente."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Muy buenas noches a todos, a todo México."
LEÓN KRAUZE,NA,Moderador,Y por supuesto al público presente. Vamos a conocer las reglas.
VOZ EN OFF,NA,Voz en Off,"El público presente lo integran 42 personas elegidas de una muestra representativa de la población de Tijuana realizada aleatoriamente por una empresa especializada. Las y los seleccionados están inscritos en la lista nominal de electores, no han decidido aún su voto y tienen la intención de acudir a las urnas el próximo primero de julio. Cada una de las personas seleccionadas formuló dos preguntas relacionadas con los temas del debate y la moderación escogió las seis preguntas que serán planteadas directamente por los asistentes a los candidatos. En el primer segmento los candidatos responderán en su turno la misma pregunta formulada por una o un ciudadano. Según el orden en el que fueron sorteados los participantes tendrán hasta un minuto para responder la pregunta inicial y posteriormente hasta dos minutos para las preguntas de seguimiento de la moderación. Adicionalmente tendrán derecho a dos réplicas de hasta 30 segundos."
YURIRIA SIERRA,NA,Moderador,"Pues así están las reglas de este histórico debate. Y el honor de empezarlo va a ser tuyo, Luis Ángel Amador Pérez, tu pregunta uno para todos los candidatos, por favor de pie y se las haces."
ASISTENTE,NA,Público,"Buenas tardes señores candidatos. Yo les tengo una pregunta y es la siguiente: en virtud de la insostenible incertidumbre que vivimos actualmente por la actitud proteccionista y la renegociación del Tratado de Libre Comercio, ¿cuáles serán sus acciones concretas para reorientar la exportación mexicana a otros estados aparte de Estados Unidos, a fin de que no nos afecte tanto la renegociación y la política proteccionista de Estados Unidos?"
YURIRIA SIERRA,NA,Moderador,"Muchas gracias Luis Ángel. Pues empieza usted contestando, candidato Rodríguez Calderón. Buenas noches."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Bien. Pues buenas noches, gracias a todos, gracias a Tijuana, gracias a México. Lo primero que tenemos que hacer es destetarnos de los gringos, y ponerlos en su lugar también, hablarle al presidente americano como se le debe de hablar a un presidente. Ser animal a veces es algo que en un comparativo a los humanos nos molesta, pero a veces los humanos hacen más daño con su boca, con el veneno de su boca, entonces el presidente Trump creo que es algo de eso, y tenemos que ver hacia otras partes, fuera de Estados Unidos nosotros tenemos que trabajar mucho Asia, India, Corea, Japón y Sudamérica sobre todo, y hacia el Tratado de Libre Comercio entre los mismos mexicanos, norte de México, sur de México y eso va a potenciar mucho las cosas que los mexicanos quieren de nosotros."
YURIRIA SIERRA,NA,Moderador,"Muchas gracias, candidato Rodríguez Calderón.Su turno candidato López Obrador, adelante, muy buenas noches."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Sostengo que la mejor política exterior es la interior, que si nos amenazan con construir muros, con militarizar la frontera, en perseguir a nuestros paisanos, lo que tenemos que hacer es fortalecer nuestra economía, que haya trabajo en México para que la gente no tenga necesidad de emigrar. Nosotros vamos a apoyar a los migrantes porque van a buscarse la vida a Estados Unidos, no van por gusto y estamos de acuerdo con el Tratado de Libre Comercio y debemos aprovechar la relación con Estados Unidos, una relación de amistad y de respeto mutuo, es la que yo propongo."
YURIRIA SIERRA,NA,Moderador,"Gracias, candidato López Obrador."
LEÓN KRAUZE,NA,Moderador,"Candidato a nadie, Luis Ángel quiere saber cuáles serán las acciones concretas para reorientar la exportación mexicana a fin de reducir el impacto económico por la dependencia al TLC."
