nombre,nombre_corto,rol,dialogo
GABRIELA WARKENTIN,NA,Moderador,"Muy buenas noches, bien venidos al tercer debate presidencial transmitido desde el gran Museo del Mundo Maya en la ciudad de Mérida en Yucatán. Yo soy Gabriela Warkentin y me acompañan en esta conducción mis queridos amigos Carlos Puig, Carlos, como éstas, buenas noches."
CARLOS PUIG,NA,Moderador,Muy contento de estar aquí Gaby.
GABRIELA WARKENTIN,NA,Moderador,"Y también Leonardo Curzio, Leonardo como éstas, buenas noches."
LEONARDO CURZIO,NA,Moderador,"Gaby como a Carlos, buenas noches, buenas noches México."
GABRIELA WARKENTIN,NA,Moderador,"Este es el último de los debates organizados por el Instituto Nacional Electoral, como los dos anteriores se transmite a todo el país por radio, televisión y por decenas, literal, decenas de plataformas digitales y de redes sociales.Y precisamente fueron las redes sociales las que se utilizaron por parte de la ciudadanía para hacer llegar a los candidatos miles, miles de preguntas y comentarios vinculados al tema principal que nos convoca el día de hoy que es economía y desarrollo y los subtemas, crecimiento económico, pobreza y desigualdad, educación, ciencia y tecnología como a salud como desarrollo sustentable y cambio climático y el INE escogió Mérida para subrayar la importancia de que el país dirija su mirada a la región sur del país.El Instituto Nacional Electoral agradece a las autoridades de este espléndido museo las facilidades otorgadas para el desarrollo de este encuentro. Y ahora sí, damos la bienvenida al candidato independiente Jaime Rodríguez Calderón, bienvenido candidato, buenas noches."
JAIME RODRÍGUEZ CALDERÓN,El Bronco,Candidato,"Buenas noches Gaby, saludos a todos."
GABRIELA WARKENTIN,NA,Moderador,"Damos la bienvenida también al candidato de la coalición Todos Por México, José Antonio Meade, bienvenido candidato."
JOSÉ ANTONIO MEADE,Meade,Candidato,"Muy buenas noches buenas noches a todos, buenas noches."
GABRIELA WARKENTIN,NA,Moderador,"Al candidato de la coalición Juntos Haremos Historia, Andrés Manuel López Obrador, candidato, Buenas noches."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Buenas noches.
GABRIELA WARKENTIN,NA,Moderador,"Y también al candidato de la coalición Por México al Frente, Ricardo Anaya, bienvenido candidato."
RICARDO ANAYA,Anaya,Candidato,Muy buenas noches.
GABRIELA WARKENTIN,NA,Moderador,"Y ahora sí, vamos a ver las reglas de este debate."
VOZ EN OFF,NA,Voz en Off,"El Instituto Nacional Electoral abrió una convocatoria para que usuarios de Twitter y Facebook realizaran comentarios y preguntas relacionadas con los temas del Tercer debate y Google agrupó las búsquedas principales de su plataforma, la moderación recibió los resultados de las tendencias que reflejan los temas de mayor interés de los usuarios y hará una pregunta basada en las conversaciones en redes sociales que será distinta para cada uno de los candidatos, según el orden en el que fueron sorteados, los candidatos tendrán un minuto para responder la pregunta inicial y hasta 2 minutos para las preguntas de seguimiento de la moderación; adicionalmente los participantes tendrán derecho a dos réplicas de hasta 30 segundos cada una a lo largo del segmento."
CARLOS PUIG,NA,Moderador,"El tema de este segmento es entonces crecimiento económico, tal vez el tema más importante para la mayoría de los mexicanos, por lo menos el que más preguntas y conversaciones mereció la convocatoria que hizo el Instituto Nacional Electoral en redes sociales para el debate, más de 2 mil conversaciones en redes sociales sobre este tema. Déjenme aprovechar este momento para agradecer a los laboratorios Sociodigitales del Iteso allá en Guadalajara y de la Universidad Veracruzana por su apoyo en el ordenamiento de la participación ciudadana en redes sociales que compartieron con nosotros.Entre 1992 y 2016 el promedio de crecimiento cada año ha sido de 2.4%, esto representa un crecimiento anual per cápita de sólo 1.3%, este ha sido el reto de los últimos gobiernos de México y los era del gobierno que alguno de ustedes encabece a partir de diciembre de este año. Por resultado de sorteo toca a la primera pregunta al candidato de la coalición Por México al Frente, Ricardo Anaya, en su plataforma candidato como habla de incrementar la inversión pública hasta el 5% del PIB para el año 2021, en su plataforma propone el establecimiento del derecho a un ingreso básico universal, en su plataforma está la propuesta de una nueva estrategia que dice, de industrialización nacional, un programa por ejemplo que llama de 2 mil días, con 8 compromisos para niños de 1 a 3 años y sus madres, candidato, todo esto cuesta dinero y los ciudadanos lo saben, tanto lo saben que para este segmento a usted le hicieron preguntas y la segunda mayor se llamaba impuestos.Quienes lanzaron las preguntas quién es a ver si todo lo que le ha prometido va a significar o tendría que significar nuevos o más impuestos, porque usted lo que ha dicho es que no quiere subir impuestos, quiere bajar el IVA en la frontera, quiere revisar el subsidio a los combustibles, ¿De dónde va a sacar el dinero para cumplir esas promesas de campaña?, esa es la preocupación en las redes sociales de si van a ser impuestos, sí va a ser deuda, adelante candidato Anaya."
RICARDO ANAYA,Anaya,Candidato,"Muy buenas noches. Yo lo he dicho con muchísima claridad, primero tenemos que revisar el gasto, porque el gobierno hoy gasta muy mal y además hay enorme corrupción, no es momento de aumentar impuestos.Y si vamos a hablar de crecimiento económico como necesitamos concentrarnos en lo que más le importa a la gente que es su ingreso personal, el ingreso en el bolsillo de las personas, el salario de la gente como hoy la mitad de la gente en nuestro país, de los que tienen trabajo, ya no hablemos de quienes no tienen un empleo ganan menos de 180 pesos al día, quién puede vivir dignamente con menos de 180 pesos al día, tengo propuestas muy concretas. Primero necesitamos más crecimiento económico y para eso es indispensable que haya mayor inversión.Segundo, tenemos que elevar los salarios empezando por aumentar el salario mínimo como a mi propuesta es duplicar el salario mínimo. Tercero."
CARLOS PUIG,NA,Moderador,"Candidato Anaya, déjame interrumpirlo, una vez más, inversión pública como el programa de los mil días, inversión pública, subir al 5% del PIB o al 6% del PIB como lo promete en su plataforma sin impuestos y sólo con ahorros, ¿porque no me dice entonces dónde están esos ahorros?"
RICARDO ANAYA,Anaya,Candidato,"Implica, en el caso de la inversión pública disminuir el gasto corriente y aumentar el gasto en la inversión así está planteado en nuestro programa y para estimular la economía, lo que tenemos que hacer no es aumentar impuestos, estoy proponiendo también que todas las personas que ganan menos de 10 mil pesos al mes les quitemos el impuesto sobre la renta. Quizá no lo saben, pero sus jefes, sus patrones retienen el impuesto sobre la renta y lo entregan al gobierno en automático."
CARLOS PUIG,NA,Moderador,Pero no son hoy 7 mil pesos y para abajo hay una cosa que se llama subsidio al empleo y cuesta a quién trabaja hoy.
RICARDO ANAYA,Anaya,Candidato,"Si la hay, si la hay y de 7 mil pesos para arriba no la hay, por lo tanto que no hay por ejemplo gana 10 mil pesos, con esto que yo estoy planteando, en automático va a aumentar a 10 mil 800, a los de menores ingresos justamente la medida es duplicar el salario mínimo. Pero déjame decir algo que es lo más importante por favor, combatir la corrupción, como lo dice el IMCO, lo dice Transparencia Mexicana, hoy el principal obstáculo para que crezca la economía es justamente la corrupción. Y yo quiero hablarle a la gente que nos ve en su casa como porque yo he sido blanco de una campaña brutal de ataques, de mentiras, de infamias por una razón muy simple, porque me atreví a decir que cuando yo sea Presidente de México habrá una Fiscalía Autónoma que investigue al Presidente Enrique Peña Nieto y su participación en los escándalos del sexenio incluyendo Ayotzinapa, la Casa Blanca."
CARLOS PUIG,NA,Moderador,"Candidato Anaya, candidato Anaya."
RICARDO ANAYA,Anaya,Candidato,Necesito terminar por favor me quedan 20 segundos.
CARLOS PUIG,NA,Moderador,Lo sé.
RICARDO ANAYA,Anaya,Candidato,Quiero terminar la idea.
CARLOS PUIG,NA,Moderador,Por respeto a quién mandó...
RICARDO ANAYA,Anaya,Candidato,"Carlos, pero te pido terminar la idea que es muy importante."
CARLOS PUIG,NA,Moderador,"Adelante, delante."
RICARDO ANAYA,Anaya,Candidato,"Terminar con la corrupción y eso implica una comisión para investigar directamente al Presidente de la República, por decir esto me atacan, pero quiero decirles que no les tengo miedo, combatir la corrupción desde más alto nivel, es hoy lo más importante."
CARLOS PUIG,NA,Moderador,"Tiempo candidato Anaya, Gracias."
LEONARDO CURZIO,NA,Moderador,"Candidato López Obrador usted escribió en este libro que a diferencia de aquellos que creen que el mercado y los elementos externos dinamizan la economía, usted cree en la intervención pública, hoy tenemos una hipótesis plausible de que nos quedamos sin TLCAN, después de los acontecimientos de Canadá, ¿tiene usted un plan para que la economía mexicana enfrente sus desafíos y tengamos crecimiento económico sin TLCASN candidato?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Sí, yo propongo una fórmula sencilla pero considero importante, trascendente. Consiste en acabar con la corrupción porque ese es el principal problema del país, es el cáncer que está destruyendo a México. No sólo hay que moralizar al país, hay que liberar los fondos que ahora se van por el caño de la corrupción, es bastante dinero del que se roban, calculo por lo bajo que se roban 500 mil millones de pesos al año.Lo otro, como complemento a esta fórmula es cortar todo el copete de privilegios que hay en el gobierno, se da la gran vida los altos funcionarios públicos, sueldos hasta de 650 mil pesos mensuales, vamos a bajar los sueldos de los de arriba porque vamos a aumentar los sueldos de los de abajo."
LEONARDO CURZIO,NA,Moderador,"Eso resuelve, Candidato, el problema de, digamos, finanzas públicas, pero motor del crecimiento sin TLCAN, ¿qué vamos a hacer? Tenemos a la vuelta de la esquina la posibilidad de aranceles al sector automotriz, candidato, ¿qué haría con eso?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Fortalecer el mercado interno, se deió hacer desde hace tiempo, no apostar todo a la política económica exterior, se abandonó el campo, el campo para mi es la fábrica más importante del país, tenemos los recursos, tenemos las tierras, tenemos agua, tenemos el conocimiento, podemos producir en México lo que consumimos, esto fortalecería la economía interna, esa es mi propuesta."
LEONARDO CURZIO,NA,Moderador,No le preocupa demasiado entonces que cancelen el TLCAN.
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Yo voy a plantear de que se mantenga el tratado pero no puede convertirse en una fatalidad para los mexicanos, nuestro país tiene muchos recursos naturales, muchas riquezas, tiene un pueblo trabajador, lo único que le hace falta y va a haber pronto, muy pronto, es un buen gobierno."
LEONARDO CURZIO,NA,Moderador,"Candidato, somos uno de los países que menos recauda, ya no sólo el parámetro OCDE e incluso en términos de América Latina recaudamos poco. Usted propone que haya y también lo escribe en el libro, subsidios y créditos para el campo, ha planteado que en tres años no subirá la gasolina, ¿se puede hacer todo esto sin incrementar los impuestos pensando en que recaudamos 13 puntitos del PIB? Candidato."
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,Mi fórmula es acabar con la corrupción.
LEONARDO CURZIO,NA,Moderador,¿Eso cuanto da en términos de?
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Alrededor de 300 a 500 mil millones, el plan de austeridad nos daría de 200 a 300 mil millones, tendríamos una bolsa de 600 a 800 mil millones para impulsar actividades productivas, crear empleos, y para el bienestar de la gente. No habría necesidad de aumentar impuestos, es mi compromiso, no aumentarían los impuestos en términos reales."
LEONARDO CURZIO,NA,Moderador,Ni a las rentas altas.
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"No, no."
LEONARDO CURZIO,NA,Moderador,Las rentas altas que empiezan en 40 mil pesos en este país hasta 10 millones.
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"No aumentaríamos impuestos, no aumentarían la deuda, y no habrían gasolinazos."
LEONARDO CURZIO,NA,Moderador,"Candidato, en este libro dice usted sobre el tema de la energía que convocaría a una consulta para ver efectivamente si se mantiene o no la Reforma Energética, consultado plebiscito dice. Le pregunto, ¿la va a mantener eso? Y en caso de que la mantuviera y fuese Presidente, ¿ Cuál sería su postura, defender la Reforma Energética que hoy tenemos o volver al modelo anterior?"
ANDRÉS MANUEL LÓPEZ OBRADOR,López Obrador,Candidato,"Vamos a revisar los contratos primero, no queremos contratos leoninos, no queremos que otros hagan negocio con lo que es nuestro."
LEONARDO CURZIO,NA,Moderador,"Gracias, Candidato. Primera réplica para el candidato Meade, Candidato."
JOSÉ ANTONIO MEADE,Meade,Candidato,"Muy buenas noches, esta película ya la vimos y no solamente la vimos en México, la vieron 173 países, perdón, fueron 130 países en los últimos años, y esta película en estos 130 países siempre terminan mal, termina con pobreza y con desempleo. De hacer lo que dice Andrés Manuel quienes nos están oyendo van enfrentar primero desempleo y un incremento en la pobreza del 30%."
LEONARDO CURZIO,NA,Moderador,"Gracias, Candidato."
GABRIELA WARKENTIN,NA,Moderador,"Candidato José Antonio Meade, usted sabe muy bien que las mujeres somos muy activas en redes sociales y por lo tanto pues hubo muchas preguntas de mujeres y de manera específica para usted. Hay una ola de transformación que recorre el mundo, la inclusión integral, equitativa, productiva, de la mujer al economía, hay estudios como los de McKenzie que apuntan que habría un aumento sustantivo al PIB si las mujeres tuvieran la misma participación que los hombres en la economía y hay varias cosas, candidato, incluso en su libro usted ha dicho que quiere convertir a México en una competencia global y va a centrar sus esfuerzos de manera muy especial, reitero, en las mujeres, pero le llegaron cuestionamientos muy críticos a través de las redes sociales porque decían que pareciera que sus propuestas son, sobre todo, asistencialistas, becas, salarios, pero no hay una propuesta integral para la igualdad ¿Que responde a esto que le dijeron de manera muy puntual, candidato?"
JOSÉ ANTONIO MEADE,Meade,Candidato,"Gracias Gaby. Primero estamos a dos días de que empiece el Mundial, entonces yo quiero desde aquí, desde el Mundo Maya desearle a la Selección la mejor de las suertes, que hagan un Mundial que nos haga sentir muy, muy orgullosos. El tema es bien importante, si queremos crecer tenemos que cerrar algunas brechas y una de las brechas más importantes que hay en México es la brecha entre el hombre y mujer, la inclusión sobre todo de la mujer en las alternativas productivas y efectivamente esos estudios señalan que podamos que crecer más o menos medio punto del PIB más, si cerramos la brecha de participación entre el hombre y la mujer. ¿Qué estamos proponiendo? Estamos proponiendo, primero, estancias y guarderías de tiempo completo y con alimentación, estamos proponiendo multiplicar por cuatro las escuelas de tiempo completo, también con alimentación, eso implica pasar de cuatro a ocho horas en las escuelas y estamos, efectivamente, planteando becas para que las mujeres puedan regresar y terminar, sobre todo, secundaria y preparatoria y eso les va a abrir mejores alternativas de empleo."
GABRIELA WARKENTIN,NA,Moderador,"¿Y hay recursos para ello, candidato, de dónde van a salir? Porque es la otra pregunta que nos hacen todo el tiempo, qué buenas ideas, ¿de dónde va a salir el dinero?"
JOSÉ ANTONIO MEADE,Meade,Candidato,"El programa de estancias debe de costar más o menos 4 mil millones de pesos, eso quiere decir que podríamos duplicarlas sin que genere una presión importante y eso nos permitiría tener un piso parejo de apoyo a las mujeres y a las familias para que tengan mayores espacios de participación ¿Y por qué esto es importante? Al final, decía Carlos Puig en su introducción, lo que es importante el crecimiento es que genere empleo, a final el crecimiento así lo medimos, en las oportunidades que tenemos los mexicanos de trabajar y quienes aquí estamos hemos tenido oportunidad de ayudar a que esos empleos se generen. Yo he sido dos veces secretario de Hacienda y las dos veces que fui secretario de Hacienda se generaron 1.1 millones de empleos y decíamos al principio, si nosotros cerramos las brechas podemos generar más. Pero tenemos un elemento que es bien interesante y quienes están escuchando en casa seguro les va llamar atención, ¿cuántos empleos hemos generado? Andrés Manuel fue jefe de Gobierno de la Ciudad, justo antes de que él llegara en la Ciudad de México se generaban más o menos 7 mil empleos, Rosario Robles, justo después de que él se fue, con Alejandro Encinas se generaban casi 11 mil empleos, cuando él fue jefe de Gobierno de la ciudad se generaban solamente 226, eso quiere decir que lo único que sabe Andrés Manuel es destruir empleo."
GABRIELA WARKENTIN,NA,Moderador,"A ver, candidato, déjeme nada más para no perder el hilo porque en verdad nos insistieron mucho que contestaran las preguntas que les envían. Una muy concreta, usted ofreció de manera reiterada la seguridad social para trabajadoras del hogar, es un ejemplo de lo que pasa en el país, sin embargo, está pendiente la ratificación del Convenio 189 de la Organización Internacional del Trabajo que en este sexenio no se hizo a pesar de que hubo peticiones y peticiones y peticiones de organizaciones para ello. Estamos hablando de más de 2 millones de personas que están en estas condiciones y usted dice Seguro Social. La pregunta directa es y por qué tendríamos que creerle ahora sí cuando en este sexenio no se ratificó un convenio que México suscribió en esta materia."
JOSÉ ANTONIO MEADE,Meade,Candidato,"Mira Gaby, son 3 millones de personas las que tenían la posibilidad de accesar  al Seguro Social y lo que estamos planteando es muy sencillo, que la seguridad social sea para los patrones deducible y que eso permita que incorporen a las trabajadoras del hogar a la seguridad social."
GABRIELA WARKENTIN,NA,Moderador,"¿Y por qué no se hizo ahora, candidato y por qué no se hizo ahora?"
